name,sku,type,price,description,category,stock_quantity,regular_price
原味可頌,croissant-plain,simple,70,每日新鮮出爐，酥脆層次分明,可頌,30,70
巧克力可頌,croissant-chocolate,simple,80,比利時黑巧克力，濃郁順滑,可頌,25,80
芋泥可頌,croissant-taro,simple,75,綿密芋泥，香氣十足,可頌,20,75
鹹派雞肉,savory-pie-chicken,simple,125,起司與香草香料，嫩滑法式雞肉,鹹派,20,125
鹹派培根,savory-pie-bacon,simple,125,培根與紅洋蔥，鹹香酥脆,鹹派,20,125
法棍,baguette,simple,95,傳統法式做法，外脆內軟,麵包,15,95
咖啡核桃,bread-coffee-walnut,simple,120,濃郁咖啡香配脆核桃，300g,麵包,20,120
巧克力葡萄乾,bread-chocolate-raisin,simple,120,比利時巧克力配葡萄乾，300g,麵包,20,120
抹茶,bread-matcha,simple,120,日本抹茶香氣，清爽滋味，300g,麵包,20,120
巧克力覆盆子,dessert-chocolate-raspberry,simple,175,濃郁巧克力配覆盆子,法式甜點,15,175
紅心芭樂芒果,dessert-guava-mango,simple,165,新鮮芭樂配芒果香,法式甜點,15,165
抹茶柚子,dessert-matcha-yuzu,simple,165,抹茶苦香配柚子清爽,法式甜點,15,165
栗子伯爵,dessert-chestnut-earl,simple,165,栗子香甜與伯爵茶香,法式甜點,15,165
玫瑰草莓覆盆子,dessert-rose-strawberry-raspberry,simple,165,玫瑰花香配莓果酸甜,法式甜點,15,165
名字加購,addon-name,simple,100,在蛋糕上加印名字,生日蛋糕,999,100
